time;posicao;valor;ultimo_ponto;media;gols;assistencias;finalizacao_trave;finalizacao_defendida;finalizacao_fora;falta_sofrida;penalti_perdido;impedimento;passe_errado;jogos_sem_sofrer_gol;defesa_penalti;defesa_dificil;roubada_bola;gol_contra;cartao_vermelho;cartao_amarelo;gol_sofrido;falta_cometida;nada
'SAN';'Goleiro';'>20';11.50;9.65;0;0;0;0;0;1;0;0;3;2;0;11;0;0;0;0;2;0;
'CHA';'Goleiro';'15-20';12.20;8.68;0;0;0;0;0;2;0;0;1;1;1;10;0;0;0;0;4;0;
'CEA';'Atacante';'15-20';-0.20;6.80;3;1;0;2;4;1;1;4;3;0;0;0;2;0;0;0;0;8;
'FLA';'Atacante';'15-20';-0.30;4.55;2;0;0;2;4;3;0;1;3;0;0;0;0;0;0;1;0;3;
'INT';'Atacante';'15-20';6.80;5.27;0;0;2;2;5;4;0;0;7;0;0;0;4;0;0;1;0;1;
'FLA';'Atacante';'15-20';0.00;6.45;1;0;0;3;2;4;0;2;6;0;0;0;2;0;0;1;0;1;
'SAN';'Atacante';'15-20';22.10;12.97;1;2;0;5;6;6;0;1;3;0;0;0;8;0;0;1;0;3;
'CRU';'Zagueiro';'15-20';9.60;7.33;2;0;0;0;1;3;0;0;10;1;0;0;7;0;0;0;0;3;
'CHA';'Atacante';'15-20';2.40;8.10;3;0;0;3;7;4;0;0;6;0;0;0;2;0;0;0;0;8;
'CHA';'Lateral';'15-20';10.30;8.00;0;2;0;0;0;10;0;0;5;1;0;0;11;0;0;1;0;2;
'ATL';'Atacante';'15-20';-0.10;3.90;1;0;1;1;4;2;0;0;6;0;0;0;1;0;0;0;0;1;
'GRE';'Atacante';'15-20';0.60;5.45;2;0;0;1;0;2;0;0;8;0;0;0;4;0;0;0;0;0;
'INT';'Atacante';'15-20';13.50;7.63;2;0;1;2;3;5;0;1;3;0;0;0;1;0;0;1;0;3;
'SAN';'Lateral';'10-14';17.40;9.80;0;1;0;7;3;6;0;1;3;2;0;0;4;0;0;1;0;4;
'FLA';'Meia';'10-14';0.00;8.00;0;2;0;0;0;1;0;0;5;0;0;0;5;0;0;0;0;1;
'ATL';'Meia';'10-14';8.90;7.20;1;0;1;2;2;10;0;0;3;0;0;0;4;0;0;0;0;7;
'ATL';'Atacante';'10-14';11.30;7.55;2;1;0;2;3;9;0;1;2;0;0;0;4;0;0;1;0;6;
'FLA';'Meia';'10-14';0.00;6.55;1;0;0;0;1;6;0;0;4;0;0;0;2;0;0;0;0;1;
'BAH';'Lateral';'10-14';0.00;7.70;0;1;0;1;1;0;0;0;2;0;0;0;7;0;0;0;0;3;
'FLA';'Meia';'10-14';0.00;6.80;0;0;0;0;1;1;0;0;4;0;0;0;10;0;0;0;0;3;
'CEA';'Lateral';'10-14';5.50;5.75;0;2;1;0;1;8;0;1;11;1;0;0;3;0;0;0;0;1;
'BOT';'Meia';'10-14';0.90;6.70;1;1;0;2;1;12;0;0;8;0;0;0;5;0;0;0;0;1;
'GRE';'Zagueiro';'10-14';8.60;5.73;0;0;0;0;1;2;0;0;7;1;0;0;10;0;0;1;0;1;
'BAH';'Atacante';'10-14';1.20;3.52;0;1;0;3;5;1;0;0;5;0;0;0;3;0;0;0;0;4;
'INT';'Zagueiro';'10-14';3.70;4.47;0;0;0;0;0;2;0;0;2;0;0;0;11;0;0;1;0;3;
'SAO';'Lateral';'10-14';9.00;4.12;0;0;0;0;1;4;0;0;6;2;0;0;7;0;0;1;0;6;
'GOI';'Goleiro';'10-14';3.40;4.88;0;0;0;0;0;2;0;0;5;1;1;6;0;0;0;0;5;0;
'SAO';'Atacante';'10-14';1.50;5.60;0;2;1;1;3;11;0;0;14;0;0;0;3;0;0;0;0;0;
'SAN';'Técnico';'10-14';8.98;5.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
'FLA';'Meia';'10-14';-0.30;2.90;0;1;0;0;0;4;0;1;6;0;0;0;3;0;0;0;0;1;
'COR';'Atacante';'10-14';4.70;4.23;1;0;0;3;1;5;0;0;10;0;0;0;5;0;0;0;0;5;
'ATL';'Meia';'10-14';2.60;4.78;1;0;1;1;2;4;0;0;14;0;0;0;7;0;0;0;0;6;
'CRU';'Atacante';'10-14';0.30;5.10;1;1;0;0;1;5;0;0;10;0;0;0;2;0;0;0;0;2;
'CEA';'Zagueiro';'10-14';3.80;4.20;0;1;0;0;1;2;0;0;5;1;0;0;5;0;0;0;0;2;
'COR';'Meia';'10-14';5.10;5.17;0;0;0;0;1;8;0;0;7;0;0;0;13;0;0;0;0;3;
'BOT';'Atacante';'10-14';-0.50;5.75;1;1;0;3;3;12;0;2;10;0;0;0;4;0;0;1;0;4;
'COR';'Lateral';'10-14';6.00;7.83;0;0;0;1;0;8;0;0;9;2;0;0;9;0;0;1;0;1;
'GRE';'Técnico';'10-14';4.76;4.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
'ATL';'Zagueiro';'10-14';3.60;2.30;0;0;0;2;0;1;0;0;5;0;0;0;4;0;0;0;0;1;
'CEA';'Atacante';'10-14';2.30;4.60;1;0;0;1;4;4;0;1;7;0;0;0;2;0;0;0;0;2;
'BAH';'Meia';'10-14';1.60;3.48;0;0;0;0;1;3;0;0;8;0;0;0;17;0;0;1;0;19;
